turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ee2916b70aa643be19c0036,20.84,220.55,"Okay. Mhm wow. Oh mm. Yeah. Yeah. Uh huh. Yeah. Uh huh. Uh huh. All right. What? Yeah, but, wow. Yeah. Oh. Uh huh. Yeah. Uh huh. Uh huh. Okay. Oh Tax mhm. Next mhm. Yeah mm. Yeah. Well mhm. Yeah. The half, yeah. Oh Oh yeah. Yeah. Okay. Yeah.",,0,,,,,199.71,1,False,False,50
1,5f7e700fa9c86614bbb5343a,220.44,221.36,well,,0,,,,-0.11000000000001364,0.9200000000000159,0,False,True,1
2,5ee2916b70aa643be19c0036,221.24,222.05,Hi.,,0,,,,-0.12000000000000455,0.8100000000000023,0,False,True,1
3,5f7e700fa9c86614bbb5343a,223.04,225.65,well let me fix my audio really quick.,,0,,,,0.9899999999999807,2.6100000000000136,0,False,False,8
4,5ee2916b70aa643be19c0036,225.84,227.85,Okay. And I can look through the top of your head too,,0,,,,0.18999999999999773,2.009999999999991,0,False,False,12
5,5f7e700fa9c86614bbb5343a,228.04,229.45,Can you hear me okay?,,0,,,,0.18999999999999773,1.4099999999999966,1,True,False,5
6,5ee2916b70aa643be19c0036,229.14,231.56,so now I can see how are you?,,0,,,,-0.3100000000000023,2.420000000000016,1,True,True,8
7,5f7e700fa9c86614bbb5343a,231.74,232.76,"Good, how are you?",,0,,,,0.18000000000000682,1.0199999999999818,1,True,False,4
8,5ee2916b70aa643be19c0036,232.74,236.36,I'm good. Good. Is this your first time doing this?,,0,,,,-0.01999999999998181,3.6200000000000045,1,True,True,11
9,5f7e700fa9c86614bbb5343a,236.44,240.55,Um It's actually my second but the first time was really good.,,0,,,,0.07999999999998408,4.110000000000014,0,False,False,13
10,5ee2916b70aa643be19c0036,240.94,243.25,"Yeah, this is my 7th.",,0,,,,0.38999999999998636,2.3100000000000023,0,False,False,5
11,5f7e700fa9c86614bbb5343a,243.74,245.45,Oh so this is the last one.,,0,,,,0.4900000000000091,1.7099999999999795,0,False,False,7
