turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5c102b9461df5c0001cb468b,12.64,537.24,"ah This is camps. Mhm. Yeah. Mhm. Mhm. Yeah. Yeah. Mhm. Mhm. Yeah. Yeah. A. T. V. A. Okay. Sunday dinner. He says good night. That's going to look for two well regulated way necessarily. You try to think that the running prediction now there dot com. Watch this brain. It's a fascinating between you know just great. What is the average clean race? Five times factor don't have a watch. Right? Life google. Make me a store list. Yeah. Okay google. Make me a store list, drain cleaner morning. Speaking of help. Yeah. My intention. Do you want to take care that you know that all in $1 every month. It's easy to see. 89612 $125 every month. Yes. Yes. Yeah. Yeah. The mission house. Yeah. It was. Uh. Oh yeah the opposite. Yeah. Yeah.",,0,,,,,524.6,2,False,False,142
1,5ee6511c69b98d0129d62f27,544.24,544.66,Hello.,,0,,,,7.0,0.4199999999999591,0,False,False,1
2,5c102b9461df5c0001cb468b,545.64,547.05,Hi how are you,,0,,,,0.9800000000000182,1.4099999999999682,0,False,False,4
3,5ee6511c69b98d0129d62f27,547.44,548.35,Wonderful.,,0,,,,0.39000000000010004,0.9099999999999682,0,False,False,1
4,5c102b9461df5c0001cb468b,547.54,548.05,appreciate,,0,,,,-0.8100000000000591,0.5099999999999909,0,False,True,1
5,5ee6511c69b98d0129d62f27,548.35,549.96,How are you?,,0,,,,0.3000000000000682,1.6100000000000136,1,True,False,3
6,5c102b9461df5c0001cb468b,549.94,553.34,good. Where are you from? Yeah.,Yeah south,1,5ee6511c69b98d0129d62f27,551.64,553.36,-0.01999999999998181,3.3999999999999773,1,False,True,6
7,5ee6511c69b98d0129d62f27,553.36,555.16,Carolina. Where are you from?,,0,,,,0.01999999999998181,1.7999999999999545,1,True,False,5
8,5c102b9461df5c0001cb468b,555.44,558.26,I'm from Connecticut. Uh,,0,,,,0.2800000000000864,2.8199999999999363,0,False,False,5
9,5ee6511c69b98d0129d62f27,557.64,561.35,Oh you're you're you're a bit up north. Huh.,,0,,,,-0.6200000000000045,3.7100000000000364,0,False,True,12
10,5c102b9461df5c0001cb468b,560.64,566.12,I'm originally from Baltimore though so I'm,Okay.,1,5ee6511c69b98d0129d62f27,564.94,565.62,-0.7100000000000364,5.480000000000018,0,False,True,9
11,5ee6511c69b98d0129d62f27,565.62,566.65,Well,,0,,,,-0.5,1.0299999999999727,0,False,True,1
12,5c102b9461df5c0001cb468b,566.13,571.05,"far away actually been to north Carolina, so",,0,,,,-0.5199999999999818,4.919999999999959,0,False,True,8
13,5ee6511c69b98d0129d62f27,570.24,578.41,"oh well look at that, look at that. Yeah I have I haven't really traveled up north actually.",yeah. Okay.,1,5c102b9461df5c0001cb468b,574.94,576.35,-0.8099999999999454,8.169999999999959,0,False,True,19
14,5c102b9461df5c0001cb468b,578.34,578.55,"The,",,0,,,,-0.06999999999993634,0.2099999999999227,0,False,True,1
