turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ee2916b70aa643be19c0036,40.34,282.44,"it could be, yeah. Yeah. Oh yeah. Uh huh. Yeah. Mhm. Mhm Yeah.",,0,,,,,242.1,0,False,False,13
1,5efe907ba8384039f55a9625,287.24,287.96,how the God,,0,,,,4.800000000000011,0.7199999999999704,0,False,False,3
2,5ee2916b70aa643be19c0036,288.14,290.26,"Hey, how are you?",Yeah,1,5efe907ba8384039f55a9625,289.34,289.54,0.18000000000000682,2.1200000000000045,1,True,False,4
3,5efe907ba8384039f55a9625,289.94,298.74,"how you doing? I'm doing good. Um It's hot as it's so I'm sorry, I was gonna curse but it's so it's so hot out",,0,,,,-0.3199999999999932,8.800000000000011,1,False,True,32
4,5ee2916b70aa643be19c0036,298.64,299.43,That's fine.,here right,1,5efe907ba8384039f55a9625,298.74,299.09,-0.10000000000002274,0.7900000000000205,0,False,True,3
5,5efe907ba8384039f55a9625,299.09,299.36,"now,",,0,,,,-0.34000000000003183,0.27000000000003865,0,False,True,1
6,5ee2916b70aa643be19c0036,299.44,301.48,How hard is it? How does,,0,,,,0.07999999999998408,2.0400000000000205,1,False,False,6
7,5efe907ba8384039f55a9625,301.44,301.64,I'm,,0,,,,-0.040000000000020464,0.19999999999998863,0,False,True,2
8,5ee2916b70aa643be19c0036,301.49,301.76,"have,",,0,,,,-0.14999999999997726,0.2699999999999818,0,False,True,1
9,5efe907ba8384039f55a9625,301.64,302.66,sorry I can't hear you.,,0,,,,-0.12000000000000455,1.0200000000000387,0,False,True,6
10,5ee2916b70aa643be19c0036,303.24,304.26,can you hear me now?,,0,,,,0.5799999999999841,1.0199999999999818,1,True,False,5
11,5efe907ba8384039f55a9625,304.94,306.46,Uh You're coming in and out,,0,,,,0.6800000000000068,1.5199999999999818,0,False,False,7
12,5ee2916b70aa643be19c0036,307.14,308.36,"Okay, can you hear me",,0,,,,0.6800000000000068,1.2200000000000273,0,False,False,5
13,5efe907ba8384039f55a9625,309.14,311.26,"kind of kind of really really low,",,0,,,,0.7799999999999727,2.1200000000000045,0,False,False,7
14,5ee2916b70aa643be19c0036,311.74,313.15,okay? We're just,,0,,,,0.4800000000000182,1.4099999999999682,1,False,False,4
15,5efe907ba8384039f55a9625,312.64,320.75,"I'm gonna try to put on my earphones, hold on a second, let me see. Okay trying to speak again.","okay,",1,5ee2916b70aa643be19c0036,314.74,315.36,-0.5099999999999909,8.110000000000014,0,False,True,22
