turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ec4a0fffe991f37f61b356e,0.54,186.76,"Thank you. It's not starting yet, so. Okay. Mhm. It's Uh huh Uh huh It's Yeah. Yeah. Uh huh It's yeah. Uh huh Uh huh. Uh huh. Okay. It's Yeah. Okay. Yeah. Yeah. Yeah. Yeah. Uh huh. Okay. Sure. Okay. Yeah. Uh huh. Mhm. Yeah. Yeah. Four. Yeah. What's your name?","Mhm Hello,",1,5f50544b526bec1ce4a44f70,181.94,184.66,,186.22,1,True,False,57
1,5f50544b526bec1ce4a44f70,187.34,189.16,um then what's the name?,,0,,,,0.5800000000000125,1.8199999999999932,1,True,False,6
2,5ec4a0fffe991f37f61b356e,189.24,191.28,My name is Elie. Let's meet you.,,0,,,,0.0800000000000125,2.039999999999992,0,False,False,8
3,5f50544b526bec1ce4a44f70,191.24,192.95,Hi kelly. Nice to meet you,,0,,,,-0.03999999999999204,1.7099999999999795,0,False,True,6
4,5ec4a0fffe991f37f61b356e,193.34,195.26,Have,,0,,,,0.3900000000000148,1.9199999999999875,0,False,False,1
5,5f50544b526bec1ce4a44f70,195.14,195.45,and,,0,,,,-0.12000000000000455,0.3100000000000023,0,False,True,1
6,5ec4a0fffe991f37f61b356e,195.26,195.59,you done,,0,,,,-0.18999999999999773,0.3300000000000125,0,False,True,2
7,5f50544b526bec1ce4a44f70,196.74,198.06,say that. Say that again.,,0,,,,1.1500000000000057,1.3199999999999932,0,False,False,5
8,5ec4a0fffe991f37f61b356e,198.14,199.25,have you done this before?,,0,,,,0.07999999999998408,1.1100000000000136,1,True,False,5
9,5f50544b526bec1ce4a44f70,199.44,215.76,"I have, yes, this is not my first rodeo. Okay, so do you want to break the 4th wall? Let's do it. Let's smash it right open. So like what do you think they're possibly doing with these conversations? Like what, what could they possibly get from this?",Oh sure. Okay. Yeah.,4,5ec4a0fffe991f37f61b356e,200.24,214.24,0.18999999999999773,16.319999999999993,3,True,False,51
10,5ec4a0fffe991f37f61b356e,216.34,223.86,I'm um I googled this before because I googled like what is better off labs?,,0,,,,0.5800000000000125,7.52000000000001,1,True,False,16
11,5f50544b526bec1ce4a44f70,223.44,226.26,Yeah. What are the results? Mhm.,Um Okay,1,5ec4a0fffe991f37f61b356e,225.24,226.22,-0.4200000000000159,2.819999999999993,1,False,True,6
12,5ec4a0fffe991f37f61b356e,226.22,251.43,so the first result is better up lab. Uh They do groundbreaking research into flourishing in the workplace. So I think they do something about like um like it's some version of like zoom or something that's supposed to be like psychologically better for the workers. But I don't know like I don't know how that works. This,,0,,,,-0.03999999999999204,25.210000000000008,0,False,True,62
13,5f50544b526bec1ce4a44f70,250.54,251.05,"Hot,",,0,,,,-0.8900000000000148,0.5100000000000193,0,False,True,1
14,5ec4a0fffe991f37f61b356e,251.43,252.1,is any different.,,0,,,,0.37999999999999545,0.6699999999999875,0,False,False,3
15,5f50544b526bec1ce4a44f70,252.84,257.45,interesting. I thought it was something more evil. Like they were training a,,0,,,,0.7400000000000091,4.609999999999985,0,False,False,13
16,5ec4a0fffe991f37f61b356e,257.34,257.66,What?,,0,,,,-0.11000000000001364,0.32000000000005,1,True,True,1
17,5f50544b526bec1ce4a44f70,257.45,260.53,robot algorithm to take over the world by,,0,,,,-0.21000000000003638,3.079999999999984,0,False,True,8
18,5ec4a0fffe991f37f61b356e,259.94,260.26,Well,,0,,,,-0.589999999999975,0.3199999999999932,0,False,True,1
19,5f50544b526bec1ce4a44f70,260.54,272.36,"listening to our conversations or actually like you're not real, you're a simulation and it's a test for the real people like me. Mm",mm mm Okay.,3,5ec4a0fffe991f37f61b356e,265.64,272.28,0.28000000000002956,11.819999999999993,0,False,False,27
20,5ec4a0fffe991f37f61b356e,272.29,273.95,I was in a study like that one,,0,,,,-0.06999999999999318,1.6599999999999682,0,False,True,8
21,5f50544b526bec1ce4a44f70,274.14,275.46,No way.,yeah.,1,5ec4a0fffe991f37f61b356e,274.44,274.64,0.18999999999999773,1.3199999999999932,0,False,False,2
22,5ec4a0fffe991f37f61b356e,275.64,293.15,Team work study. But the there was like some chat ai that was actually in there and it was an in person study and so they had like cameras on you to watch your reaction. Uh It took you to figure it out. It was a really weird study.,"Oh wow,",1,5f50544b526bec1ce4a44f70,288.14,289.25,0.18000000000000682,17.50999999999999,0,False,False,49
23,5f50544b526bec1ce4a44f70,292.74,300.36,"that is so exciting, wow. Okay, so there if you are an ai they're doing a phenomenal job of like fooling us.",,0,,,,-0.40999999999996817,7.6200000000000045,0,False,True,23
24,5ec4a0fffe991f37f61b356e,300.64,300.99,Thank,,0,,,,0.2799999999999727,0.35000000000002274,0,False,False,1
25,5f50544b526bec1ce4a44f70,300.74,301.0,But,,0,,,,-0.25,0.2599999999999909,0,False,True,1
26,5ec4a0fffe991f37f61b356e,300.99,304.06,you. You would be very realistic.,uh,1,5f50544b526bec1ce4a44f70,301.01,301.66,-0.009999999999990905,3.069999999999993,0,False,True,6
27,5f50544b526bec1ce4a44f70,303.84,315.46,"great, thank you. Thank you. I'll take it. Um but how's your lazy? Well, my Sundays lazy, I don't mean to imply that yours is. How's your sunday going?",Mhm. Yeah. Yeah. Right,4,5ec4a0fffe991f37f61b356e,306.34,313.35,-0.22000000000002728,11.620000000000005,2,True,True,33
28,5ec4a0fffe991f37f61b356e,315.44,322.66,definitely lazy. Yeah just among us with my cousins and that was really fun. So I don't know if you've ever,"Yeah. Oh,",2,5f50544b526bec1ce4a44f70,317.44,323.1,-0.01999999999998181,7.220000000000027,0,False,True,23
29,5f50544b526bec1ce4a44f70,323.11,325.34,among us is so fun. It's,right,1,5ec4a0fffe991f37f61b356e,323.24,323.45,0.44999999999998863,2.2299999999999613,0,False,False,7
30,5ec4a0fffe991f37f61b356e,324.84,325.05,but,,0,,,,-0.5,0.21000000000003638,0,False,True,1
31,5f50544b526bec1ce4a44f70,325.35,337.76,"actually, it's kind of the game gives me anxiety to play as the impostor because I just feel bad about lying blatantly and killing people. It's",yeah,1,5ec4a0fffe991f37f61b356e,333.54,333.86,0.30000000000001137,12.409999999999968,0,False,False,28
32,5ec4a0fffe991f37f61b356e,337.34,346.16,well yeah you know it's really for me it's like really easy with friends to lie but when it's with my family they just know right away,,0,,,,-0.4200000000000159,8.82000000000005,0,False,True,30
33,5f50544b526bec1ce4a44f70,346.24,358.84,"no, yeah, it's it's different playing with people you're close with. But yeah, that game has taken the world by storm. Oh, did",awesome. What? Yeah.,2,5ec4a0fffe991f37f61b356e,349.74,358.15,0.07999999999998408,12.599999999999966,0,False,False,26
34,5ec4a0fffe991f37f61b356e,358.84,359.05,What?,,0,,,,0.0,0.21000000000003638,1,True,False,1
35,5f50544b526bec1ce4a44f70,358.84,360.35,you say something? I,,0,,,,-0.21000000000003638,1.5100000000000477,1,False,True,4
36,5ec4a0fffe991f37f61b356e,360.04,364.37,Oh I asked how is your day going? What have you done? Oh,,0,,,,-0.3100000000000023,4.329999999999984,2,False,True,13
37,5f50544b526bec1ce4a44f70,363.84,389.25,"uh it's also yeah, just been a lazy sunday, trying not to fall down the rabbit rabbit hole, but I I did I felt so deep down into the randomness things. Um But yeah, it's been nice. I think in my head I always want to be productive and like doing something like I gotta, I don't know, but sometimes it's just good and better to just take it easy and relax.",right okay.,2,5ec4a0fffe991f37f61b356e,370.14,370.95,-0.5300000000000296,25.410000000000025,0,False,True,77
38,5ec4a0fffe991f37f61b356e,389.84,391.25,Yeah. Yeah for sure,,0,,,,0.589999999999975,1.410000000000025,0,False,False,4
39,5f50544b526bec1ce4a44f70,391.14,392.76,I need to do that more,,0,,,,-0.11000000000001364,1.6200000000000045,0,False,True,6
40,5ec4a0fffe991f37f61b356e,393.14,396.05,when you're productive what do you do? What's your productive thing?,,0,,,,0.37999999999999545,2.910000000000025,2,True,False,13
41,5f50544b526bec1ce4a44f70,396.44,410.75,"okay, when I'm productive, I feel like I'm doing something or contributing, but like cleaning or organizing things or creating something. Yeah, I feel bad or guilty when I'm just consuming, consuming,",Mhm,1,5ec4a0fffe991f37f61b356e,406.54,406.75,0.38999999999998636,14.310000000000002,0,False,False,35
42,5ec4a0fffe991f37f61b356e,411.04,412.77,totally.,,0,,,,0.29000000000002046,1.7299999999999613,0,False,False,1
43,5f50544b526bec1ce4a44f70,415.14,422.86,"well I'm r o say that, Say that again, sorry.",Right. Really?,1,5ec4a0fffe991f37f61b356e,418.94,419.66,2.3700000000000045,7.720000000000027,0,False,False,11
44,5ec4a0fffe991f37f61b356e,423.14,428.56,I just think really realistic ai like drinks all the food drinks? Okay. Yeah.,Uh huh.,1,5f50544b526bec1ce4a44f70,426.84,427.85,0.2799999999999727,5.420000000000016,1,False,False,14
45,5f50544b526bec1ce4a44f70,428.44,431.46,"Yes, I've been trained.",,0,,,,-0.12000000000000455,3.019999999999982,0,False,True,5
46,5ec4a0fffe991f37f61b356e,430.74,433.36,Uh huh. What have you got there?,,0,,,,-0.7199999999999704,2.6200000000000045,1,True,True,7
47,5f50544b526bec1ce4a44f70,433.74,436.56,"Mm. Oh, take a gander. It could be anything.",,0,,,,0.37999999999999545,2.819999999999993,0,False,False,9
48,5ec4a0fffe991f37f61b356e,436.84,440.26,If I had to guess I would say like blueberry bananas movie,,0,,,,0.2799999999999727,3.420000000000016,0,False,False,12
