turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5f4a7225cf944c08a81adca2,2.37,35.28,"Yes, yeah, china. I don't know. Mhm. Yeah. Yeah. Mhm, mm. Mhm. Yeah, sure.",,0,,,,,32.910000000000004,0,False,False,15
1,5869dec37fbbcd00013974e2,36.84,38.16,Hello.,,0,,,,1.5600000000000023,1.3199999999999932,0,False,False,1
2,5f4a7225cf944c08a81adca2,37.24,39.06,"Yeah, I'm serious.",,0,,,,-0.9199999999999946,1.8200000000000003,0,False,True,4
3,5869dec37fbbcd00013974e2,39.54,40.86,"Good, how are you?",,0,,,,0.4799999999999969,1.3200000000000003,1,True,False,4
4,5f4a7225cf944c08a81adca2,40.54,45.86,I'm good thank you. Mhm. Come on. Okay.,"Yeah,",1,5869dec37fbbcd00013974e2,44.34,44.54,-0.3200000000000003,5.32,0,False,True,9
5,5869dec37fbbcd00013974e2,45.74,48.16,I'm Alex latrine.,,0,,,,-0.11999999999999744,2.4199999999999946,0,False,True,4
6,5f4a7225cf944c08a81adca2,47.44,49.66,Catherine. Where are you from?,,0,,,,-0.7199999999999989,2.219999999999999,1,True,True,5
7,5869dec37fbbcd00013974e2,49.84,52.36,"I'm from Baltimore but I live in Durham. Where are you from,",,0,,,,0.18000000000000682,2.519999999999996,0,False,False,13
8,5f4a7225cf944c08a81adca2,52.54,53.65,From New Jersey?,,0,,,,0.17999999999999972,1.1099999999999994,1,True,False,3
9,5869dec37fbbcd00013974e2,53.94,60.06,wherever you are? You in New Jersey right now. Lucky you. I would give anything to flee to the north.,Yeah. Yeah.,2,5f4a7225cf944c08a81adca2,55.64,59.04,0.28999999999999915,6.1200000000000045,1,False,False,20
10,5f4a7225cf944c08a81adca2,59.94,61.56,How is it that down there?,,0,,,,-0.12000000000000455,1.6200000000000045,1,True,True,6
11,5869dec37fbbcd00013974e2,61.74,109.56,"It's fine. I mean I'm just from a city and now I live in a township if you ask me. So it's like I mean plus like it's we're in a pandemic really nothing to do. Um And I would just rather not be here. I moved here from London, so it was like from like the best city I've ever lived into. Like probably the second slowest. Well under the amount of time, it's like living next to like a strip mall for the entirety. There is nothing but like HI mean I'm 25 so it's just like for a single 25 year old who like would enjoy social interaction. It's just not. That's great. What part of New Jersey are you from?","Right, mm. Mhm. Mhm. Yeah. Mhm. All right, okay. Mhm. Uh huh.",10,5f4a7225cf944c08a81adca2,64.64,100.56,0.17999999999999972,47.82,1,True,False,135
12,5f4a7225cf944c08a81adca2,109.64,130.56,"I'm from like Central so it's like okay, it's like nice. But like it's also like the same sort of situation where it's like I can either Go to the same fast food restaurant I've been to like 12 times go to the beach or be awkward. We looked at by people who I don't know or homophobic or not. Okay.",Mhm. Yeah. Mhm. Oh,3,5869dec37fbbcd00013974e2,111.14,130.23,0.0799999999999983,20.92,0,False,False,68
13,5869dec37fbbcd00013974e2,130.23,138.46,"my God. Is it like, so you live by the beach? Is it like a tourist town?","Yeah,",1,5f4a7225cf944c08a81adca2,135.74,136.24,-0.3300000000000125,8.230000000000018,2,True,True,17
14,5f4a7225cf944c08a81adca2,139.04,162.74,"Not like entirely like my town sort of big. Like I have like two areas of it and I live like on one area and then we have one area that has like all the nice beach houses and stuff. So like maybe that area, but not like where I live in detail. I don't think I get a lot of tourists like in my area because we're not directly on the big beaches, like the big like Jersey Shore beaches. Yeah.",Mhm. Mhm. I,2,5869dec37fbbcd00013974e2,155.44,162.55,0.5799999999999841,23.700000000000017,0,False,False,84
15,5869dec37fbbcd00013974e2,162.55,170.85,"used to be obsessed with Jersey shore. Like how old is that? Like 12. It was like the light of my life. Excuse me, I'm eating dinner because",Mhm. Mhm.,2,5f4a7225cf944c08a81adca2,164.44,167.35,-0.18999999999999773,8.299999999999983,1,False,True,29
16,5f4a7225cf944c08a81adca2,170.44,171.5,"No, it's OK. What",,0,,,,-0.4099999999999966,1.0600000000000023,0,False,True,5
17,5869dec37fbbcd00013974e2,171.44,171.56,All,,0,,,,-0.060000000000002274,0.12000000000000455,0,False,True,1
18,5f4a7225cf944c08a81adca2,171.5,172.15,are you eating?,"right,",1,5869dec37fbbcd00013974e2,171.56,171.76,-0.060000000000002274,0.6500000000000057,1,True,True,3
19,5869dec37fbbcd00013974e2,172.54,176.86,I got I made salmon and crab cakes and mashed potatoes,,0,,,,0.38999999999998636,4.320000000000022,0,False,False,11
20,5f4a7225cf944c08a81adca2,177.34,177.58,That's,,0,,,,0.47999999999998977,0.2400000000000091,0,False,False,2
21,5869dec37fbbcd00013974e2,177.44,177.62,so,,0,,,,-0.14000000000001478,0.18000000000000682,0,False,True,1
22,5f4a7225cf944c08a81adca2,177.58,178.66,good.,,0,,,,-0.03999999999999204,1.079999999999984,0,False,True,1
23,5869dec37fbbcd00013974e2,177.62,205.65,"my life would shoot me in the foot for not eating vegetables, but I don't care. I like don't go grocery shopping at all. Ever stop by the store to get they to get like literally just a fish and walked right past approaches and it was like maybe next time we'll be back for you. So, and the agitators like leftover from like three days ago. Uh I've been successful in Oh yeah, living life.","Mhm. Mhm, mm. Mhm. Mhm. Yeah.",6,5f4a7225cf944c08a81adca2,181.04,204.06,-1.039999999999992,28.03,0,False,True,80
24,5f4a7225cf944c08a81adca2,206.14,207.66,Are you working right now or?,,0,,,,0.4899999999999807,1.5200000000000102,1,True,False,6
25,5869dec37fbbcd00013974e2,207.94,214.15,Um Yeah. So I'm I'm actually a graduate student at U. N. Scene. I,Mhm. The,1,5f4a7225cf944c08a81adca2,211.94,214.0,0.28000000000000114,6.210000000000008,0,False,False,16
26,5f4a7225cf944c08a81adca2,214.0,214.35,heart?,,0,,,,-0.15000000000000568,0.3499999999999943,1,True,True,1
27,5869dec37fbbcd00013974e2,214.15,275.17,"do that and because I don't have boundaries, I have like three other campus jobs. Um So I tutor, I also got a job as a pharmacy tag. This is when I say it out loud, it sounds absolutely ridiculous. So like when the pandemic happened, my two different job was like, hey obviously we're not doing in person tutoring sessions, stay tuned, you might get fired. So I was like oh shit, so one of my friends is a pharmacist and she was like oh we're hiring at the pharmacy if one of your pharmacy tech. And I was like but I don't have medical innovations, like you literally don't need one. I was like but I barely know math. She said you literally just need to know how to count. I was like okay fine. So I basically like almost failed the test like cause like you have to do like this online tests, like they make you like in order to even apply, they make you like type of prescriptions, like in this like simulator. And apparently mine was bad because she was attracted to her. I was like, oh did you guys come application? And she was like, yeah, it wasn't great, but because I vouched for you, my boss is gonna bring you in for an interview, so she",Mhm. Mhm. Okay. Yeah. Mhm. Mhm.,6,5f4a7225cf944c08a81adca2,215.04,273.25,-0.19999999999998863,61.02000000000001,1,False,True,231
28,5f4a7225cf944c08a81adca2,275.04,275.36,And,,0,,,,-0.12999999999999545,0.3199999999999932,0,False,True,1
29,5869dec37fbbcd00013974e2,275.17,288.53,"didn't look fine. I mean, I haven't like fucked anything up, so it's fine. I think the test was like bullshit. It was probably something weird, like you didn't capitalise like the first letter of somebody's neighbors because like all of our systems are super particular,",Mhm.,1,5f4a7225cf944c08a81adca2,285.04,285.55,-0.18999999999999773,13.359999999999957,0,False,True,51
30,5f4a7225cf944c08a81adca2,288.04,288.25,What?,,0,,,,-0.48999999999995225,0.20999999999997954,1,True,True,1
31,5869dec37fbbcd00013974e2,288.54,298.35,"so I do that and then I'm also grading, I'm working as a teaching assistant and then I'm grading for two classes outside of that, so you know,",Mhm.,1,5f4a7225cf944c08a81adca2,296.04,296.66,0.29000000000002046,9.810000000000002,0,False,False,31
32,5f4a7225cf944c08a81adca2,300.44,301.25,That's good.,,0,,,,2.089999999999975,0.8100000000000023,0,False,False,3
33,5869dec37fbbcd00013974e2,301.34,302.51,doing that. Have you?,Yeah.,1,5f4a7225cf944c08a81adca2,302.14,302.64,0.08999999999997499,1.170000000000016,1,True,False,4
34,5f4a7225cf944c08a81adca2,303.34,309.14,"Yeah, I'm like, I'm a freshman in college right now, like underground, so like I should be there, but I'm not so I go figure. Um",,0,,,,0.8299999999999841,5.800000000000011,0,False,False,29
35,5869dec37fbbcd00013974e2,309.04,311.23,"No,",,0,,,,-0.0999999999999659,2.1899999999999977,0,False,True,1
36,5f4a7225cf944c08a81adca2,309.14,310.96,So I tutor what,,0,,,,-2.090000000000032,1.8199999999999932,0,False,True,4
37,5869dec37fbbcd00013974e2,311.24,312.16,where will you be?,,0,,,,0.28000000000002956,0.9200000000000159,1,True,False,4
38,5f4a7225cf944c08a81adca2,312.34,331.66,"I would be at smith like in massachusetts, but I'm not obviously. So um I tutor like five days a week, so I do that and then I I joined us on the side and then I do this pretty consistently. I got one like multi platform stuff for it and that's how it's going right now.",Mhm. Mhm. Mhm.,3,5869dec37fbbcd00013974e2,313.64,329.26,0.17999999999994998,19.32000000000005,0,False,False,60
39,5869dec37fbbcd00013974e2,331.94,334.06,How many of the conversations have you done so far?,,0,,,,0.2799999999999727,2.1200000000000045,1,True,False,10
40,5f4a7225cf944c08a81adca2,334.14,335.66,"This is my second, what about you?",,0,,,,0.07999999999998408,1.5200000000000387,1,True,False,7
41,5869dec37fbbcd00013974e2,335.74,340.56,"And then my second one to like you can do up to six. I was like, I'll be doing sex",Mhm.,1,5f4a7225cf944c08a81adca2,336.84,337.56,0.07999999999998408,4.819999999999993,0,False,False,21
42,5f4a7225cf944c08a81adca2,340.14,342.26,Between 6? I'll be trying for seven.,right?,1,5869dec37fbbcd00013974e2,341.04,341.46,-0.4200000000000159,2.1200000000000045,1,False,True,8
