turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5ed9df4296035b58dce21946,1.67,48.66,Okay. Mhm. Okay. What? Okay. No. Yeah. Yes. Mhm. Hello? Hi.,Okay. Her. Okay.,2,5f67f123a9151c4484c6e1f4,41.34,49.06,,46.989999999999995,2,False,False,11
1,5f67f123a9151c4484c6e1f4,50.04,57.46,Um do you mind if I extend a timer? Mm hmm.,"Yeah, sure.",2,5ed9df4296035b58dce21946,53.64,56.55,1.3800000000000026,7.420000000000002,1,False,False,11
2,5ed9df4296035b58dce21946,59.84,60.16,Mhm.,,0,,,,2.3800000000000026,0.3199999999999932,0,False,False,1
3,5f67f123a9151c4484c6e1f4,60.44,61.36,How are you doing?,,0,,,,0.28000000000000114,0.9200000000000017,1,True,False,4
4,5ed9df4296035b58dce21946,61.59,64.52,I'm doing good. And how are you?,"Mhm. Yeah,",2,5f67f123a9151c4484c6e1f4,61.74,64.46,0.23000000000000398,2.9299999999999926,1,True,False,8
5,5f67f123a9151c4484c6e1f4,64.84,72.06,"I'm doing okay. Uh huh. Yeah, it's a sunday, so",,0,,,,0.3200000000000074,7.219999999999999,0,False,False,12
6,5ed9df4296035b58dce21946,70.94,77.65,"Yeah, I wasn't sure if anyone would show up today. Yeah.",Mhm. Really,1,5f67f123a9151c4484c6e1f4,75.34,77.45,-1.1200000000000045,6.710000000000008,0,False,True,12
7,5f67f123a9151c4484c6e1f4,78.44,81.35,"has the, the last person? Not sure.",Okay.,1,5ed9df4296035b58dce21946,80.22,81.06,0.789999999999992,2.9099999999999966,1,False,False,7
8,5ed9df4296035b58dce21946,81.64,81.97,Yeah.,,0,,,,0.29000000000000625,0.3299999999999983,0,False,False,1
9,5f67f123a9151c4484c6e1f4,81.74,81.95,Mhm.,,0,,,,-0.23000000000000398,0.21000000000000796,0,False,True,1
10,5ed9df4296035b58dce21946,81.98,84.59,Like um I signed up um,Yeah. Mhm.,2,5f67f123a9151c4484c6e1f4,82.34,83.65,0.030000000000001137,2.6099999999999994,0,False,False,6
11,5f67f123a9151c4484c6e1f4,84.34,84.76,Yes.,,0,,,,-0.25,0.4200000000000017,0,False,True,1
12,5ed9df4296035b58dce21946,84.59,97.65,like two times earlier this week and like nobody showed up. Yeah.,Oh gosh.,1,5f67f123a9151c4484c6e1f4,87.74,89.21,-0.1700000000000017,13.060000000000002,0,False,True,12
13,5f67f123a9151c4484c6e1f4,89.21,97.75,I'm sorry. That sucks. Yeah. Um is this your first time doing it?,,0,,,,-8.440000000000012,8.540000000000006,1,True,True,14
14,5ed9df4296035b58dce21946,98.34,102.07,"No, I've done it a few more times. Like previously",Yeah. Yeah.,2,5f67f123a9151c4484c6e1f4,99.64,101.06,0.5900000000000034,3.7299999999999898,0,False,False,11
15,5f67f123a9151c4484c6e1f4,101.44,101.76,Thank you.,,0,,,,-0.6299999999999955,0.3200000000000074,0,False,True,2
16,5ed9df4296035b58dce21946,102.07,107.76,with the other version of this I guess. Have you done that before?,Yeah. Yeah. Yes. Mm hmm.,3,5f67f123a9151c4484c6e1f4,102.24,107.15,0.30999999999998806,5.690000000000012,1,True,False,13
17,5f67f123a9151c4484c6e1f4,108.48,112.16,I have done it four times in this,Yeah.,1,5ed9df4296035b58dce21946,111.54,111.74,0.7199999999999989,3.6799999999999926,0,False,False,8
18,5ed9df4296035b58dce21946,112.14,112.46,How?,,0,,,,-0.01999999999999602,0.3199999999999932,1,True,True,1
19,5f67f123a9151c4484c6e1f4,112.16,113.09,current version.,,0,,,,-0.29999999999999716,0.9300000000000068,0,False,True,2
20,5ed9df4296035b58dce21946,113.64,119.86,Oh really? Wow. That's a lot. Mhm. Uh huh.,"Yeah,",1,5f67f123a9151c4484c6e1f4,117.14,119.14,0.5499999999999972,6.219999999999999,1,False,False,10
21,5f67f123a9151c4484c6e1f4,119.74,133.44,I'm just doing as much as I can for me. Yeah. Um Yeah. So are you in your room? Yeah.,"Uh huh. Yeah. Yeah. No,",3,5ed9df4296035b58dce21946,122.64,133.91,-0.12000000000000455,13.700000000000003,1,False,True,21
22,5ed9df4296035b58dce21946,134.06,143.46,I'm in my brother's room. Well he's not at home. I'm just like using his monitor to like study.,"Oh, uh yeah. Yeah. Yeah. Yeah. Yeah. Mhm.",6,5f67f123a9151c4484c6e1f4,136.74,142.96,0.6200000000000045,9.400000000000006,0,False,False,23
23,5f67f123a9151c4484c6e1f4,143.54,148.54,"Yeah, that makes sense. Yeah. Yeah.",Yeah.,1,5ed9df4296035b58dce21946,147.44,147.64,0.07999999999998408,5.0,0,False,False,6
24,5ed9df4296035b58dce21946,148.94,150.47,"Yeah. Anyway,",,0,,,,0.4000000000000057,1.5300000000000011,0,False,False,2
25,5f67f123a9151c4484c6e1f4,151.54,151.67,Yeah.,,0,,,,1.0699999999999932,0.12999999999999545,0,False,False,1
26,5ed9df4296035b58dce21946,153.24,153.5,have,,0,,,,1.5700000000000216,0.2599999999999909,0,False,False,1
27,5f67f123a9151c4484c6e1f4,153.45,154.05,"Professional,",,0,,,,-0.05000000000001137,0.6000000000000227,0,False,True,1
28,5ed9df4296035b58dce21946,153.5,155.25,you done anything fun this weekend?,,0,,,,-0.5500000000000114,1.75,1,True,True,6
29,5f67f123a9151c4484c6e1f4,155.24,168.76,"wow. Um Oh, I got to hang out with my partner, so I think that's fun. Yeah. What about you?",Yeah. Yeah.,2,5ed9df4296035b58dce21946,164.24,166.06,-0.009999999999990905,13.519999999999982,1,True,True,21
30,5ed9df4296035b58dce21946,168.84,174.08,Um Yesterday I went to like um a farm,Okay?,1,5f67f123a9151c4484c6e1f4,173.14,173.35,0.0800000000000125,5.240000000000009,0,False,False,9
31,5f67f123a9151c4484c6e1f4,173.94,174.14,"Yeah,",,0,,,,-0.14000000000001478,0.19999999999998863,0,False,True,1
32,5ed9df4296035b58dce21946,174.08,174.71,to like go,,0,,,,-0.05999999999997385,0.6299999999999955,0,False,True,3
33,5f67f123a9151c4484c6e1f4,174.54,174.88,please.,,0,,,,-0.17000000000001592,0.3400000000000034,0,False,True,1
34,5ed9df4296035b58dce21946,174.71,177.16,see pumpkin patches and things like that.,,0,,,,-0.1699999999999875,2.4499999999999886,0,False,True,7
35,5f67f123a9151c4484c6e1f4,177.34,184.15,"You um Yeah, Do you find any good pumpkins?",Yeah.,1,5ed9df4296035b58dce21946,181.08,182.46,0.18000000000000682,6.810000000000002,1,True,False,9
36,5ed9df4296035b58dce21946,185.14,196.15,No um So like what happened is we got their super or late and like it was about to close and it's like an hour or so. Honestly didn't do much. But I tried to,Okay. Yeah. Yeah. Mhm.,4,5f67f123a9151c4484c6e1f4,185.57,192.65,0.9899999999999807,11.01000000000002,0,False,False,37
37,5f67f123a9151c4484c6e1f4,199.04,208.26,"Mhm. Yeah, I'm sorry, but getting all right before this is doesn't sound fun.",why. Mhm.,1,5ed9df4296035b58dce21946,203.84,205.65,2.8899999999999864,9.219999999999999,0,False,False,16
38,5ed9df4296035b58dce21946,208.64,220.11,Yeah actually I was supposed to be going there earlier but like I had few friends running late so way to wait for them and then by the time we got there it was like so crowded,Uh huh. Mm.,3,5f67f123a9151c4484c6e1f4,212.44,213.45,0.37999999999999545,11.470000000000027,0,False,False,37
39,5f67f123a9151c4484c6e1f4,219.84,220.16,Thanks.,,0,,,,-0.27000000000001023,0.3199999999999932,0,False,True,1
40,5ed9df4296035b58dce21946,220.11,224.45,"and then we have to find parking and I was like yeah that took a long time,",Mhm. Mhm. Yeah.,3,5f67f123a9151c4484c6e1f4,220.74,223.74,-0.04999999999998295,4.339999999999975,0,False,True,17
41,5f67f123a9151c4484c6e1f4,224.94,230.76,Mhm. Yeah. The hassle of like friend get togethers.,right?,1,5ed9df4296035b58dce21946,228.44,228.86,0.4900000000000091,5.819999999999993,0,False,False,9
42,5ed9df4296035b58dce21946,230.54,251.47,Yeah I had a friend who didn't even show up he was like he was like um I don't know he got lost and then he turned around and literally the rules by the farms are so narrow so like he like literally had to spend another 20 minutes to like going around and coming back and he was like it was like it was like part of,Right. Yeah mm. Yeah. Mhm.,5,5f67f123a9151c4484c6e1f4,235.74,247.35,-0.21999999999999886,20.930000000000007,0,False,True,70
43,5f67f123a9151c4484c6e1f4,251.44,251.66,And,,0,,,,-0.030000000000001137,0.21999999999999886,0,False,True,1
44,5ed9df4296035b58dce21946,251.47,251.8,like his,,0,,,,-0.18999999999999773,0.3300000000000125,0,False,True,2
45,5f67f123a9151c4484c6e1f4,251.66,251.79,you,,0,,,,-0.14000000000001478,0.12999999999999545,0,False,True,1
46,5ed9df4296035b58dce21946,251.81,252.24,birthday,,0,,,,0.020000000000010232,0.4300000000000068,0,False,False,1
47,5f67f123a9151c4484c6e1f4,251.83,252.27,will be,,0,,,,-0.4099999999999966,0.4399999999999977,0,False,True,2
