turn_id,speaker,start,stop,utterance,backchannel,backchannel_count,backchannel_speaker,backchannel_start,backchannel_stop,interval,delta,questions,end_question,overlap,n_words
0,5eeb9d5c417b5b34b8ceed17,4.64,12.75,"wondering? Yeah. That Hi,",,0,,,,,8.11,1,False,False,4
1,5e8e4fc4bb7e470d85c008e5,12.54,12.99,"Hi,",,0,,,,-0.21000000000000085,0.45000000000000107,0,False,True,1
2,5eeb9d5c417b5b34b8ceed17,12.81,13.36,how,,0,,,,-0.17999999999999972,0.5499999999999989,0,False,True,1
3,5e8e4fc4bb7e470d85c008e5,13.0,13.62,how,,0,,,,-0.35999999999999943,0.6199999999999992,0,False,True,1
4,5eeb9d5c417b5b34b8ceed17,13.36,13.86,are you?,,0,,,,-0.2599999999999998,0.5,1,True,True,2
5,5e8e4fc4bb7e470d85c008e5,13.62,19.85,are you? I'm good. Are we all working? Can you hear me? All good? Yes,"Mhm. Yeah. Yes. Again,",3,5eeb9d5c417b5b34b8ceed17,15.64,19.52,-0.2400000000000002,6.230000000000002,4,False,True,16
6,5eeb9d5c417b5b34b8ceed17,19.52,19.87,can you hear,,0,,,,-0.33000000000000185,0.3500000000000014,0,False,True,3
7,5e8e4fc4bb7e470d85c008e5,19.85,20.23,"again,",,0,,,,-0.019999999999999574,0.379999999999999,0,False,True,1
8,5eeb9d5c417b5b34b8ceed17,19.87,20.16,me?,,0,,,,-0.35999999999999943,0.28999999999999915,1,True,True,1
9,5e8e4fc4bb7e470d85c008e5,20.23,21.24,Can you hear me? Yep.,,0,,,,0.07000000000000028,1.009999999999998,1,False,False,5
10,5eeb9d5c417b5b34b8ceed17,20.94,21.15,Thanks.,,0,,,,-0.29999999999999716,0.2099999999999973,0,False,True,1
11,5e8e4fc4bb7e470d85c008e5,21.25,23.94,You're all good Alright,,0,,,,0.10000000000000142,2.6900000000000013,0,False,False,5
12,5eeb9d5c417b5b34b8ceed17,23.14,25.0,"All right, great. Yeah.",Great. Alright,1,5e8e4fc4bb7e470d85c008e5,23.95,25.71,-0.8000000000000007,1.8599999999999994,0,False,True,4
13,5e8e4fc4bb7e470d85c008e5,25.71,31.29,so 25 minutes you go first. Mhm. Uh,Right uh,2,5eeb9d5c417b5b34b8ceed17,26.74,30.81,0.7100000000000009,5.579999999999998,0,False,False,8
14,5eeb9d5c417b5b34b8ceed17,30.82,31.43,I'm,,0,,,,-0.46999999999999886,0.6099999999999994,0,False,True,2
15,5e8e4fc4bb7e470d85c008e5,31.3,31.72,I'm,,0,,,,-0.129999999999999,0.41999999999999815,0,False,True,2
16,5eeb9d5c417b5b34b8ceed17,31.43,31.82,pretty,,0,,,,-0.28999999999999915,0.39000000000000057,0,False,True,1
17,5e8e4fc4bb7e470d85c008e5,31.72,32.14,pretty,,0,,,,-0.10000000000000142,0.4200000000000017,0,False,True,1
18,5eeb9d5c417b5b34b8ceed17,31.82,32.17,uh it's,,0,,,,-0.3200000000000003,0.3500000000000014,0,False,True,3
19,5e8e4fc4bb7e470d85c008e5,32.15,32.72,it's nice,nice to,1,5eeb9d5c417b5b34b8ceed17,32.17,32.47,-0.020000000000003126,0.5700000000000003,0,False,True,3
20,5eeb9d5c417b5b34b8ceed17,32.47,33.35,meet you.,,0,,,,-0.25,0.8800000000000026,0,False,True,2
21,5e8e4fc4bb7e470d85c008e5,32.72,39.17,"with you. Yeah, I'm jeremy, nice to meet you too. Where are you from? Um","Right, okay, um",3,5eeb9d5c417b5b34b8ceed17,34.24,38.91,-0.6300000000000026,6.450000000000003,1,False,True,16
22,5eeb9d5c417b5b34b8ceed17,38.92,39.86,"Virginia,",,0,,,,-0.25,0.9399999999999977,0,False,True,1
23,5e8e4fc4bb7e470d85c008e5,39.18,39.95,Virginia,,0,,,,-0.6799999999999997,0.7700000000000031,0,False,True,1
24,5eeb9d5c417b5b34b8ceed17,39.87,40.17,What,,0,,,,-0.0800000000000054,0.30000000000000426,0,False,True,1
25,5e8e4fc4bb7e470d85c008e5,39.96,41.03,Virginia,,0,,,,-0.21000000000000085,1.0700000000000003,0,False,True,1
26,5eeb9d5c417b5b34b8ceed17,40.17,41.35,about you?,,0,,,,-0.8599999999999994,1.1799999999999997,1,True,True,2
27,5e8e4fc4bb7e470d85c008e5,41.04,48.56,nice Kansas like just outside of Wichita. Not that you probably know where that is but you know it's flyover country here so,,0,,,,-0.3100000000000023,7.520000000000003,0,False,True,24
28,5eeb9d5c417b5b34b8ceed17,49.84,50.51,I don't,,0,,,,1.2800000000000011,0.6699999999999946,0,False,False,3
29,5e8e4fc4bb7e470d85c008e5,50.34,50.53,I,,0,,,,-0.1699999999999946,0.18999999999999773,0,False,True,1
30,5eeb9d5c417b5b34b8ceed17,50.51,50.62,but,,0,,,,-0.020000000000003126,0.10999999999999943,0,False,True,1
31,5e8e4fc4bb7e470d85c008e5,50.53,50.8,don't,,0,,,,-0.0899999999999963,0.269999999999996,0,False,True,2
32,5eeb9d5c417b5b34b8ceed17,50.62,50.83,that's,,0,,,,-0.17999999999999972,0.21000000000000085,0,False,True,2
33,5e8e4fc4bb7e470d85c008e5,50.8,52.76,but that's nice. Um,nice. Um,2,5eeb9d5c417b5b34b8ceed17,50.83,52.45,-0.030000000000001137,1.9600000000000009,0,False,True,5
34,5eeb9d5c417b5b34b8ceed17,53.24,53.75,How's,,0,,,,0.480000000000004,0.509999999999998,0,False,False,2
35,5e8e4fc4bb7e470d85c008e5,53.54,54.03,How's,,0,,,,-0.21000000000000085,0.490000000000002,0,False,True,2
36,5eeb9d5c417b5b34b8ceed17,53.75,54.26,the weather?,,0,,,,-0.28000000000000114,0.509999999999998,1,True,True,2
37,5e8e4fc4bb7e470d85c008e5,54.03,54.52,the weather,,0,,,,-0.22999999999999687,0.490000000000002,0,False,True,2
38,5eeb9d5c417b5b34b8ceed17,54.26,54.81,Is it,,0,,,,-0.2600000000000051,0.5500000000000043,0,False,True,2
39,5e8e4fc4bb7e470d85c008e5,54.52,55.13,is it?,,0,,,,-0.28999999999999915,0.6099999999999994,1,True,True,2
40,5eeb9d5c417b5b34b8ceed17,54.82,55.85,super hotter?,"Alright,",1,5e8e4fc4bb7e470d85c008e5,55.14,55.47,-0.3100000000000023,1.0300000000000011,1,True,True,2
41,5e8e4fc4bb7e470d85c008e5,55.48,60.35,"stormed, stormed all day. We're out, we were picking up my wife and I were picking up",Right. Oh,2,5eeb9d5c417b5b34b8ceed17,57.04,60.17,-0.37000000000000455,4.8700000000000045,0,False,True,18
42,5eeb9d5c417b5b34b8ceed17,60.18,60.65,gosh.,,0,,,,-0.1700000000000017,0.46999999999999886,0,False,True,1
43,5e8e4fc4bb7e470d85c008e5,60.35,73.99,"a bed and uh we went in town you know took the truck, took the old matches back, got a new one and like why were there? It's like all of a sudden this this thunderstorm pops up so it's like where did",Oh,1,5eeb9d5c417b5b34b8ceed17,73.74,73.98,-0.29999999999999716,13.639999999999993,1,False,True,45
44,5eeb9d5c417b5b34b8ceed17,73.98,74.76,no.,,0,,,,-0.009999999999990905,0.7800000000000011,0,False,True,1
45,5e8e4fc4bb7e470d85c008e5,73.99,88.15,"that come from? So we I mean the mattresses in a in plastic but it blew off the truck for a second. It was it was a disaster. But we made it home, we're all good. It's all safe. So if","Oh God,",1,5eeb9d5c417b5b34b8ceed17,83.14,83.95,-0.7700000000000102,14.16000000000001,1,False,True,43
46,5eeb9d5c417b5b34b8ceed17,87.54,88.05,students,,0,,,,-0.6099999999999994,0.5099999999999909,0,False,True,1
47,5e8e4fc4bb7e470d85c008e5,88.15,91.06,the power goes out randomly it's it's not because,,0,,,,0.10000000000000853,2.9099999999999966,0,False,False,11
48,5eeb9d5c417b5b34b8ceed17,91.34,92.06,what?,,0,,,,0.28000000000000114,0.7199999999999989,1,True,False,1
49,5e8e4fc4bb7e470d85c008e5,91.44,99.31,"I'm sick of you, it's because the power went out. So. So",,0,,,,-0.6200000000000045,7.8700000000000045,0,False,True,14
50,5eeb9d5c417b5b34b8ceed17,96.94,99.36,Uh huh. Did you have,,0,,,,-2.3700000000000045,2.4200000000000017,0,False,True,5
51,5e8e4fc4bb7e470d85c008e5,99.32,99.95,what happens,a nice,1,5eeb9d5c417b5b34b8ceed17,99.36,99.68,-0.04000000000000625,0.6300000000000097,0,False,True,2
